Date,Open,High,Low,Close,Adj Close,Volume,Stock
2022-09-13,258.839996,260.399994,251.589996,251.990005,251.28186,33353300,MSFT
2022-09-12,265.779999,267.450012,265.160004,266.649994,265.900635,18747700,MSFT
2022-09-09,260.5,265.230011,260.290009,264.459991,263.716797,22084700,MSFT
2022-09-08,257.51001,260.429993,254.789993,258.519989,257.793488,20319900,MSFT
2022-09-07,254.699997,258.829987,253.220001,258.089996,257.364716,24126700,MSFT
2022-09-06,256.200012,257.829987,251.940002,253.25,252.5383,21328200,MSFT
2022-09-02,261.700012,264.73999,254.470001,256.059998,255.340408,22855400,MSFT
2022-09-01,258.869995,260.890015,255.410004,260.399994,259.668213,23263400,MSFT
2022-08-31,265.390015,267.109985,261.329987,261.470001,260.735199,24791800,MSFT
2022-08-30,266.670013,267.049988,260.660004,262.970001,262.230988,22767100,MSFT
2022-08-29,265.850006,267.399994,263.850006,265.230011,264.48465,20338500,MSFT
2022-08-26,279.079987,280.339996,267.980011,268.089996,267.336609,27549300,MSFT
2022-08-25,277.329987,279.019989,274.519989,278.850006,278.066376,16583400,MSFT
2022-08-24,275.410004,277.230011,275.109985,275.790009,275.014984,18137000,MSFT
2022-08-23,276.440002,278.859985,275.399994,276.440002,275.663147,17527400,MSFT
2022-08-22,282.079987,282.459991,277.220001,277.75,276.969452,25061100,MSFT
2022-08-19,288.899994,289.25,285.559998,286.149994,285.345856,20570000,MSFT
2022-08-18,290.190002,291.910004,289.079987,290.170013,289.354553,17186200,MSFT
2022-08-17,289.73999,293.350006,289.470001,291.320007,290.501343,18253400,MSFT
2022-08-16,291.98999,294.040009,290.420013,292.709991,291.269165,18102900,MSFT
2022-08-15,291,294.179993,290.109985,293.470001,292.025452,18085700,MSFT
2022-08-12,288.480011,291.910004,286.940002,291.910004,290.473114,22619700,MSFT
2022-08-11,290.850006,291.209991,286.51001,287.019989,285.607147,20065900,MSFT
2022-08-10,288.170013,289.809998,286.940002,289.160004,287.736633,24687800,MSFT
2022-08-09,279.640015,283.079987,277.609985,282.299988,280.9104,23405200,MSFT
2022-08-08,284.049988,285.920013,279.320007,280.320007,278.940155,18739200,MSFT
2022-08-05,279.149994,283.649994,278.679993,282.910004,281.517395,16774600,MSFT
2022-08-04,281.799988,283.799988,280.170013,283.649994,282.253754,18098700,MSFT
2022-08-03,276.76001,283.5,276.609985,282.470001,281.079559,23518900,MSFT
2022-08-02,276,277.890015,272.380005,274.820007,273.467224,22754200,MSFT
2022-08-01,277.820007,281.279999,275.839996,278.01001,276.641541,21539600,MSFT
2022-07-29,277.700012,282,276.630005,280.73999,279.358093,32152800,MSFT
2022-07-28,269.75,277.839996,267.869995,276.410004,275.049408,33459300,MSFT
2022-07-27,261.160004,270.049988,258.850006,268.73999,267.417145,45994000,MSFT
2022-07-26,259.859985,259.880005,249.570007,251.899994,250.660034,39348000,MSFT
2022-07-25,261,261.5,256.809998,258.829987,257.555908,21056000,MSFT
2022-07-22,265.23999,265.329987,259.070007,260.359985,259.0784,21881300,MSFT
2022-07-21,259.790009,264.890015,257.029999,264.839996,263.536346,22404700,MSFT
2022-07-20,259.899994,264.869995,258.910004,262.269989,260.979004,22788300,MSFT
2022-07-19,257.579987,259.720001,253.679993,259.529999,258.252502,25012600,MSFT
2022-07-18,259.75,260.839996,253.300003,254.25,252.998474,20975000,MSFT
2022-07-15,255.720001,260.369995,254.770004,256.720001,255.456314,29774100,MSFT
2022-07-14,250.570007,255.139999,245.940002,254.080002,252.82933,25102800,MSFT
2022-07-13,250.190002,253.550003,248.110001,252.720001,251.476013,29497400,MSFT
2022-07-12,265.880005,265.940002,252.039993,253.669998,252.421326,35868500,MSFT
2022-07-11,265.649994,266.529999,262.179993,264.51001,263.207977,19455200,MSFT
2022-07-08,264.790009,268.100006,263.290009,267.660004,266.342468,19658800,MSFT
2022-07-07,265.119995,269.059998,265.019989,268.399994,267.078827,20859900,MSFT
2022-07-06,263.75,267.98999,262.399994,266.209991,264.899597,23824400,MSFT
2022-07-05,256.160004,262.980011,254.740005,262.850006,261.556152,22941000,MSFT
2022-07-01,256.390015,259.769989,254.610001,259.579987,258.302216,22837700,MSFT
2022-06-30,257.049988,259.529999,252.899994,256.829987,255.565781,31730900,MSFT
2022-06-29,257.589996,261.970001,255.759995,260.26001,258.978912,20069800,MSFT
2022-06-28,263.980011,266.910004,256.320007,256.480011,255.217514,27295500,MSFT
